                                 num                      mulop                 relop                         id                             (                   ;               float                        addop                                      if                            EOF       )       {    assign    }     else                 while                           int           
       SIGN                     SYNCH                     ERROR                 ERROR                       SYNCH                          SYNCH               ERROR             ERROR                        addop                                     ERROR                         ERROR    ERROR   ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
      FACTOR                     num                      SYNCH                 SYNCH                         id                       ( EXPRESSION )          SYNCH             ERROR                        SYNCH                                     ERROR                         ERROR    SYNCH   ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
       TERM                  FACTOR TERM`                 ERROR                 SYNCH                    FACTOR TERM`                   FACTOR TERM`           SYNCH             ERROR                        SYNCH                                     ERROR                         ERROR    SYNCH   ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
    METHOD_BODY                 ERROR                     ERROR                 ERROR                   STATEMENT_LIST                     ERROR               ERROR         STATEMENT_LIST                   ERROR                                STATEMENT_LIST                     SYNCH    ERROR   ERROR   ERROR  ERROR  ERROR            STATEMENT_LIST                  STATEMENT_LIST     
    EXPRESSION`                 ERROR                     ERROR        relop SIMPLE_EXPRESSION              ERROR                          ERROR              Epsilon            ERROR                        ERROR                                     ERROR                         ERROR   Epsilon  ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
  STATEMENT_LIST`               ERROR                     ERROR                 ERROR             STATEMENT STATEMENT_LIST`                ERROR               ERROR   STATEMENT STATEMENT_LIST`              ERROR                           STATEMENT STATEMENT_LIST`              Epsilon   ERROR   ERROR   ERROR  ERROR  ERROR       STATEMENT STATEMENT_LIST`      STATEMENT STATEMENT_LIST`
        IF                      ERROR                     ERROR                 ERROR                       SYNCH                          ERROR               ERROR             SYNCH                        ERROR              if ( EXPRESSION ) { STATEMENT } else { STATEMENT }   SYNCH    ERROR   ERROR   ERROR  SYNCH  ERROR                 SYNCH                          SYNCH          
    EXPRESSION      SIMPLE_EXPRESSION EXPRESSION`         ERROR                 ERROR           SIMPLE_EXPRESSION EXPRESSION`  SIMPLE_EXPRESSION EXPRESSION`   SYNCH             ERROR            SIMPLE_EXPRESSION EXPRESSION`                         ERROR                         ERROR    SYNCH   ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
     STATEMENT                  ERROR                     ERROR                 ERROR                     ASSIGNMENT                       ERROR               ERROR          DECLARATION                     ERROR                                      IF                           SYNCH    ERROR   ERROR   ERROR  SYNCH  ERROR                 WHILE                       DECLARATION       
       TERM`                    ERROR              mulop FACTOR TERM`          Epsilon                      ERROR                          ERROR              Epsilon            ERROR                       Epsilon                                    ERROR                         ERROR   Epsilon  ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
    DECLARATION                 ERROR                     ERROR                 ERROR                       SYNCH                          ERROR               ERROR      PRIMITIVE_TYPE id ;                 ERROR                                     SYNCH                         SYNCH    ERROR   ERROR   ERROR  SYNCH  ERROR                 SYNCH                   PRIMITIVE_TYPE id ;   
    ASSIGNMENT                  ERROR                     ERROR                 ERROR               id assign EXPRESSION ;                 ERROR               ERROR             SYNCH                        ERROR                                     SYNCH                         SYNCH    ERROR   ERROR   ERROR  SYNCH  ERROR                 SYNCH                          SYNCH          
  PRIMITIVE_TYPE                ERROR                     ERROR                 ERROR                       SYNCH                          ERROR               ERROR             float                        ERROR                                     ERROR                         ERROR    ERROR   ERROR   ERROR  ERROR  ERROR                 ERROR                           int           
       WHILE                    ERROR                     ERROR                 ERROR                       SYNCH                          ERROR               ERROR             SYNCH                        ERROR                                     SYNCH                         SYNCH    ERROR   ERROR   ERROR  SYNCH  ERROR  while ( EXPRESSION ) { STATEMENT }            SYNCH          
  STATEMENT_LIST                ERROR                     ERROR                 ERROR             STATEMENT STATEMENT_LIST`                ERROR               ERROR   STATEMENT STATEMENT_LIST`              ERROR                           STATEMENT STATEMENT_LIST`               SYNCH    ERROR   ERROR   ERROR  ERROR  ERROR       STATEMENT STATEMENT_LIST`      STATEMENT STATEMENT_LIST`
SIMPLE_EXPRESSION`              ERROR                     ERROR                Epsilon                      ERROR                          ERROR              Epsilon            ERROR            addop TERM SIMPLE_EXPRESSION`                         ERROR                         ERROR   Epsilon  ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
 SIMPLE_EXPRESSION     TERM SIMPLE_EXPRESSION`            ERROR                 SYNCH              TERM SIMPLE_EXPRESSION`        TERM SIMPLE_EXPRESSION`      SYNCH             ERROR             SIGN TERM SIMPLE_EXPRESSION`                         ERROR                         ERROR    SYNCH   ERROR   ERROR  ERROR  ERROR                 ERROR                          ERROR          
